x,y
-18.957293,-13.394684
-13.342317,-10.468254
-13.542824,-10.749719
-12.313910,-10.671615
-12.420628,-15.188485
-14.067240,-16.115277
-15.147028,19.546645
-14.910992,19.336029
-14.118828,18.868001
-14.433015,18.180447
-14.415653,18.850355
-15.681625,17.466905
-15.710592,17.519725
-15.795639,17.491183
-16.550498,17.732560
-15.798096,18.243361
-15.405013,18.234703
-13.943134,19.189425
-13.203811,20.253685
-11.442903,21.770458
-10.589761,22.010306
-9.677025,22.416032
-9.167803,22.319926
-8.611338,21.849337
-10.874819,20.726562
-10.194676,21.786511
-7.371573,23.212108
-3.819362,23.806412
-3.247675,24.575182
-0.806002,25.463879
-5.078622,26.681241
-6.665734,26.211709
-9.027478,24.122456
-9.737686,24.404775
-7.886956,24.795186
-4.952908,26.257271
-1.387636,27.401213
-1.012602,27.912363
5.198978,26.872803
4.305944,27.498206
4.757777,26.670631
4.048083,25.703014
3.772984,24.516265
4.784136,23.619806
1.389895,23.375926
-0.786343,23.285502
-4.592883,22.311270
-9.014638,20.477278
-9.074313,21.927828
-9.092380,23.086662
-10.008251,24.302062
-10.934655,24.704153
-11.530620,25.546339
-13.069078,25.699771
